Identifier from Copilot,Title from Copilot,"Implementation Applicable (Y or N/A)",Identifier from ISM,Description from ISM
ISM-1515,Test restoration to common point in time in DR exercises,Not Assessed,ISM-1515,"Restoration of data, applications and settings from backups to a common point in time is tested as part of disaster recovery exercises."
ISM-0580,Event logging policy maintained,Not Assessed,ISM-0580,"An event logging policy is developed, implemented and maintained."
ISM-1405,Centralised event logging facility implemented,Not Assessed,ISM-1405,A centralised event logging facility is implemented.
ISM-1983,Send logs to central facility as soon as possible,Not Assessed,ISM-1983,Event logs sent to a centralised event logging facility are done so as soon as possible after they occur.
ISM-1984,Encrypt event logs in transit,Not Assessed,ISM-1984,Event logs sent to a centralised event logging facility are encrypted in transit.
ISM-1985,Protect event logs from unauthorised access,Not Assessed,ISM-1985,Event logs are protected from unauthorised access.
ISM-1815,Protect logs from unauthorised modification/deletion,Not Assessed,ISM-1815,Event logs are protected from unauthorised modification and deletion.
ISM-0988,Use accurate & consistent time source for logging,Not Assessed,ISM-0988,An accurate and consistent time source is used for event logging.
ISM-0585,Capture date/time/user/process/filename/event/equipment for logs,Not Assessed,ISM-0585,"For each event logged, the date and time of the event, the relevant user or process, the relevant filename, the event description, and the information technology equipment involved are captured."
ISM-1959,Store event logs in consistent-structured format where possible,Not Assessed,ISM-1959,"To the extent possible, event logs are captured and stored in a consistent and structured format."
ISM-1986,Analyse critical server logs promptly to detect events,Not Assessed,ISM-1986,Event logs from critical servers are analysed in a timely manner to detect cyber security events.
ISM-1906,Analyse internet-facing server logs promptly,Not Assessed,ISM-1906,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.
ISM-1907,Analyse non-internet-facing server logs promptly,Not Assessed,ISM-1907,Event logs from non-internet-facing servers are analysed in a timely manner to detect cyber security events.
ISM-0109,Analyse workstation logs promptly,Not Assessed,ISM-0109,Event logs from workstations are analysed in a timely manner to detect cyber security events.
ISM-1987,Analyse security product logs promptly,Not Assessed,ISM-1987,Event logs from security products are analysed in a timely manner to detect cyber security events.
ISM-1960,Analyse internet-facing network device logs promptly,Not Assessed,ISM-1960,Event logs from internet-facing network devices are analysed in a timely manner to detect cyber security events.
ISM-1961,Analyse non-internet-facing network device logs promptly,Not Assessed,ISM-1961,Event logs from non-internet-facing network devices are analysed in a timely manner to detect cyber security events.
ISM-1228,Analyse events to identify incidents promptly,Not Assessed,ISM-1228,Cyber security events are analysed in a timely manner to identify cyber security incidents.
ISM-1988,Retain event logs in searchable manner >=12 months,Not Assessed,ISM-1988,Event logs are retained in a searchable manner for at least 12 months.
ISM-1989,Retain event logs per NAA AFDA Express retention rules,Not Assessed,ISM-1989,Event logs are retained as per minimum retention requirements for various classes of records as set out by the National Archives of Australia’s Administrative Functions Disposal Authority Express (AFDA Express) Version 2 publication.
ISM-0400,Segregate dev/test/staging/prod environments,Not Assessed,ISM-0400,"Development, testing, staging and production environments are segregated."
ISM-1419,Development only in development environments,Not Assessed,ISM-1419,Development and modification of software only takes place in development environments.
ISM-1420,Do not use production data in non-prod unless equally secured,Not Assessed,ISM-1420,Data from production environments is not used in non-production environments unless the non-production environment is secured to at least the same level as the production environment.
ISM-2023,Maintain authoritative source for software,Not Assessed,ISM-2023,An authoritative source for software is established and maintained.
ISM-2024,Use authoritative source for all development,Not Assessed,ISM-2024,The authoritative source for software is used for all software development activities.
ISM-1422,Prevent unauthorised access to authoritative source,Not Assessed,ISM-1422,Unauthorised access to the authoritative source for software is prevented.
ISM-1816,Prevent unauthorised modification of authoritative source,Not Assessed,ISM-1816,Unauthorised modification of the authoritative source for software is prevented.
ISM-2025,Use issue tracking linked to security decisions,Not Assessed,ISM-2025,"An issue tracking solution is used to link software development tasks to security issues and decisions, change or feature requests, programming issues, or bug fixes."
ISM-2026,Scan all software artefacts for malicious code before import,Not Assessed,ISM-2026,"All software artefacts are scanned for malicious code before being imported into the authoritative source for software, including all compiled code, third-party libraries and software components."
ISM-2027,Verify artefacts by signature or secure hash before import,Not Assessed,ISM-2027,"All software artefacts are verified by a digital signature, or a secure hash provided over a secure channel, before being imported into the authoritative source for software."
ISM-2028,Test third-party artefacts with SAST/DAST/SCA before import and periodically,Not Assessed,ISM-2028,"All imported or referenced third-party software artefacts are tested using static application security testing (SAST), dynamic application security testing (DAST) and software composition analysis (SCA) before being imported into the authoritative source for software and periodically throughout the software development life cycle."
